system,backend,dataset,set,class_id,class_matrices,total_set_matrices,set_percentage,total_dataset_matrices,dataset_percentage
cirrus,cuda,square_set,train,0,32,1677,1.91,2099,1.52
cirrus,cuda,square_set,train,1,902,1677,53.79,2099,42.97
cirrus,cuda,square_set,train,2,227,1677,13.54,2099,10.81
cirrus,cuda,square_set,train,3,468,1677,27.91,2099,22.30
cirrus,cuda,square_set,train,4,9,1677,0.54,2099,0.43
cirrus,cuda,square_set,train,5,39,1677,2.33,2099,1.86
cirrus,cuda,square_set,test,0,8,422,1.90,2099,0.38
cirrus,cuda,square_set,test,1,226,422,53.55,2099,10.77
cirrus,cuda,square_set,test,2,57,422,13.51,2099,2.72
cirrus,cuda,square_set,test,3,118,422,27.96,2099,5.62
cirrus,cuda,square_set,test,4,3,422,0.71,2099,0.14
cirrus,cuda,square_set,test,5,10,422,2.37,2099,0.48
