system,backend,dataset,set,class_id,class_matrices,total_set_matrices,set_percentage,total_dataset_matrices,dataset_percentage
cirrus,openmp,square_set,train,0,157,1683,9.33,2106,7.45
cirrus,openmp,square_set,train,1,1436,1683,85.32,2106,68.19
cirrus,openmp,square_set,train,2,60,1683,3.57,2106,2.85
cirrus,openmp,square_set,train,3,0,1683,0.00,2106,0.00
cirrus,openmp,square_set,train,4,0,1683,0.00,2106,0.00
cirrus,openmp,square_set,train,5,30,1683,1.78,2106,1.42
cirrus,openmp,square_set,test,0,40,423,9.46,2106,1.90
cirrus,openmp,square_set,test,1,360,423,85.11,2106,17.09
cirrus,openmp,square_set,test,2,15,423,3.55,2106,0.71
cirrus,openmp,square_set,test,3,0,423,0.00,2106,0.00
cirrus,openmp,square_set,test,4,0,423,0.00,2106,0.00
cirrus,openmp,square_set,test,5,8,423,1.89,2106,0.38
