system,backend,dataset,set,class_id,class_matrices,total_set_matrices,set_percentage,total_dataset_matrices,dataset_percentage
instinct,hip,square_set,train,0,76,1679,4.53,2102,3.62
instinct,hip,square_set,train,1,1063,1679,63.31,2102,50.57
instinct,hip,square_set,train,2,80,1679,4.76,2102,3.81
instinct,hip,square_set,train,3,70,1679,4.17,2102,3.33
instinct,hip,square_set,train,4,45,1679,2.68,2102,2.14
instinct,hip,square_set,train,5,345,1679,20.55,2102,16.41
instinct,hip,square_set,test,0,19,423,4.49,2102,0.90
instinct,hip,square_set,test,1,266,423,62.88,2102,12.65
instinct,hip,square_set,test,2,21,423,4.96,2102,1.00
instinct,hip,square_set,test,3,18,423,4.26,2102,0.86
instinct,hip,square_set,test,4,12,423,2.84,2102,0.57
instinct,hip,square_set,test,5,87,423,20.57,2102,4.14
