system,backend,dataset,set,class_id,class_matrices,total_set_matrices,set_percentage,total_dataset_matrices,dataset_percentage
xci,openmp,square_set,train,0,200,1683,11.88,2105,9.50
xci,openmp,square_set,train,1,1348,1683,80.10,2105,64.04
xci,openmp,square_set,train,2,24,1683,1.43,2105,1.14
xci,openmp,square_set,train,3,3,1683,0.18,2105,0.14
xci,openmp,square_set,train,4,2,1683,0.12,2105,0.10
xci,openmp,square_set,train,5,106,1683,6.30,2105,5.04
xci,openmp,square_set,test,0,51,422,12.09,2105,2.42
xci,openmp,square_set,test,1,337,422,79.86,2105,16.01
xci,openmp,square_set,test,2,7,422,1.66,2105,0.33
xci,openmp,square_set,test,3,0,422,0.00,2105,0.00
xci,openmp,square_set,test,4,0,422,0.00,2105,0.00
xci,openmp,square_set,test,5,27,422,6.40,2105,1.28
