system,backend,dataset,set,class_id,class_matrices,total_set_matrices,set_percentage,total_dataset_matrices,dataset_percentage
xci,serial,square_set,train,0,87,1684,5.17,2106,4.13
xci,serial,square_set,train,1,1504,1684,89.31,2106,71.42
xci,serial,square_set,train,2,0,1684,0.00,2106,0.00
xci,serial,square_set,train,3,0,1684,0.00,2106,0.00
xci,serial,square_set,train,4,0,1684,0.00,2106,0.00
xci,serial,square_set,train,5,93,1684,5.52,2106,4.42
xci,serial,square_set,test,0,22,422,5.21,2106,1.04
xci,serial,square_set,test,1,376,422,89.10,2106,17.85
xci,serial,square_set,test,2,0,422,0.00,2106,0.00
xci,serial,square_set,test,3,0,422,0.00,2106,0.00
xci,serial,square_set,test,4,0,422,0.00,2106,0.00
xci,serial,square_set,test,5,24,422,5.69,2106,1.14
