matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000116792,2
1138_bus,1,7.28405e-05,2
1138_bus,2,7.1981e-05,2
1138_bus,3,7.28058e-05,2
1138_bus,4,0.000188417,2
1138_bus,5,0.000142911,2
144,0,0.000239862,3
144,1,7.25663e-05,3
144,2,inf,3
144,3,7.17536e-05,3
144,4,0.000225204,3
144,5,0.000142709,3
2D_27628_bjtcai,0,0.000165289,1
2D_27628_bjtcai,1,7.24133e-05,1
2D_27628_bjtcai,2,0.00024277,1
2D_27628_bjtcai,3,7.26342e-05,1
2D_27628_bjtcai,4,0.000195612,1
2D_27628_bjtcai,5,0.000142678,1
2D_54019_highK,0,0.00017932,1
2D_54019_highK,1,7.21837e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00024484,1
2D_54019_highK,4,0.000206888,1
2D_54019_highK,5,0.000142504,1
333SP,0,0.00215176,1
333SP,1,0.000723332,1
333SP,2,inf,1
333SP,3,0.000974234,1
333SP,4,0.00229093,1
333SP,5,0.00107588,1
3D_28984_Tetra,0,0.000167504,1
3D_28984_Tetra,1,7.23403e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.0001967,1
3D_28984_Tetra,5,0.000142729,1
3D_51448_3D,0,0.000175939,1
3D_51448_3D,1,7.16919e-05,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000198595,1
3D_51448_3D,5,0.000141709,1
3dtube,0,0.000234117,1
3dtube,1,7.6256e-05,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000226613,1
3dtube,5,0.000143934,1
3elt,0,0.000124572,3
3elt,1,7.16997e-05,3
3elt,2,8.56337e-05,3
3elt,3,7.10681e-05,3
3elt,4,0.000184423,3
3elt,5,0.000135683,3
3elt_dual,0,0.000125772,1
3elt_dual,1,7.2206e-05,1
3elt_dual,2,7.7979e-05,1
3elt_dual,3,7.25968e-05,1
3elt_dual,4,0.000185223,1
3elt_dual,5,0.000142484,1
494_bus,0,0.000112911,3
494_bus,1,7.214e-05,3
494_bus,2,7.22292e-05,3
494_bus,3,7.19493e-05,3
494_bus,4,0.000184323,3
494_bus,5,0.000141537,3
598a,0,0.000220335,3
598a,1,7.1723e-05,3
598a,2,inf,3
598a,3,7.11992e-05,3
598a,4,0.00022762,3
598a,5,0.000136363,3
662_bus,0,0.000122167,1
662_bus,1,7.73408e-05,1
662_bus,2,7.86505e-05,1
662_bus,3,7.88878e-05,1
662_bus,4,0.0001989,1
662_bus,5,0.000153889,1
685_bus,0,0.000115621,1
685_bus,1,7.22981e-05,1
685_bus,2,7.26537e-05,1
685_bus,3,7.23897e-05,1
685_bus,4,0.000184052,1
685_bus,5,0.000142055,1
a0nsdsil,0,0.000166737,1
a0nsdsil,1,8.33587e-05,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.000217991,1
a0nsdsil,5,0.000190482,1
a2nnsnsl,0,0.000155826,1
a2nnsnsl,1,8.0922e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000201349,1
a2nnsnsl,5,0.000165257,1
a5esindl,0,0.000154609,1
a5esindl,1,0.000142263,1
a5esindl,2,inf,1
a5esindl,3,inf,1
a5esindl,4,0.000196922,1
a5esindl,5,0.00026366,1
ABACUS_shell_ud,0,0.000147668,1
ABACUS_shell_ud,1,7.20194e-05,1
ABACUS_shell_ud,2,7.83314e-05,1
ABACUS_shell_ud,3,7.24909e-05,1
ABACUS_shell_ud,4,0.000186233,1
ABACUS_shell_ud,5,0.000142485,1
ACTIVSg10K,0,0.000150025,1
ACTIVSg10K,1,7.20913e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,7.23797e-05,1
ACTIVSg10K,4,0.00019469,1
ACTIVSg10K,5,0.000141245,1
ACTIVSg2000,0,0.000124465,1
ACTIVSg2000,1,7.24583e-05,1
ACTIVSg2000,2,0.000151144,1
ACTIVSg2000,3,7.38245e-05,1
ACTIVSg2000,4,0.000181831,1
ACTIVSg2000,5,0.000141164,1
ACTIVSg70K,0,0.000149399,1
ACTIVSg70K,1,7.26213e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,7.27689e-05,1
ACTIVSg70K,4,0.00020332,1
ACTIVSg70K,5,0.000141937,1
adaptive,0,0.00179625,1
adaptive,1,0.000575875,1
adaptive,2,inf,1
adaptive,3,0.00096578,1
adaptive,4,0.0025037,1
adaptive,5,0.000846106,1
add20,0,0.000119473,3
add20,1,7.2615e-05,3
add20,2,0.000140295,3
add20,3,7.21504e-05,3
add20,4,0.000184786,3
add20,5,0.000141629,3
add32,0,0.000120183,3
add32,1,7.23554e-05,3
add32,2,0.000184634,3
add32,3,7.18066e-05,3
add32,4,0.000182137,3
add32,5,0.000140754,3
adder_dcop_01,0,0.000119532,1
adder_dcop_01,1,7.13492e-05,1
adder_dcop_01,2,0.000152142,1
adder_dcop_01,3,0.000114076,1
adder_dcop_01,4,0.000183717,1
adder_dcop_01,5,0.000141081,1
adder_dcop_02,0,0.000116946,1
adder_dcop_02,1,7.21445e-05,1
adder_dcop_02,2,0.000152104,1
adder_dcop_02,3,0.000114128,1
adder_dcop_02,4,0.000183495,1
adder_dcop_02,5,0.000141521,1
adder_dcop_03,0,0.000117595,1
adder_dcop_03,1,7.22733e-05,1
adder_dcop_03,2,0.000152452,1
adder_dcop_03,3,0.000114077,1
adder_dcop_03,4,0.000183059,1
adder_dcop_03,5,0.000140752,1
adder_dcop_04,0,0.000116367,1
adder_dcop_04,1,7.235e-05,1
adder_dcop_04,2,0.000152102,1
adder_dcop_04,3,0.000114174,1
adder_dcop_04,4,0.000183306,1
adder_dcop_04,5,0.000141861,1
adder_dcop_05,0,0.000125787,1
adder_dcop_05,1,7.80997e-05,1
adder_dcop_05,2,0.000148653,1
adder_dcop_05,3,0.000114148,1
adder_dcop_05,4,0.000195183,1
adder_dcop_05,5,0.000153992,1
adder_dcop_06,0,0.00011996,1
adder_dcop_06,1,7.28351e-05,1
adder_dcop_06,2,0.00014872,1
adder_dcop_06,3,0.000114074,1
adder_dcop_06,4,0.00018216,1
adder_dcop_06,5,0.000142506,1
adder_dcop_07,0,0.000126073,1
adder_dcop_07,1,7.6155e-05,1
adder_dcop_07,2,0.000152925,1
adder_dcop_07,3,0.000114097,1
adder_dcop_07,4,0.000194082,1
adder_dcop_07,5,0.000151469,1
adder_dcop_08,0,0.000117496,1
adder_dcop_08,1,7.33618e-05,1
adder_dcop_08,2,0.00015266,1
adder_dcop_08,3,0.000114141,1
adder_dcop_08,4,0.00018263,1
adder_dcop_08,5,0.000140976,1
adder_dcop_09,0,0.000116149,1
adder_dcop_09,1,7.22369e-05,1
adder_dcop_09,2,0.000148501,1
adder_dcop_09,3,0.00011409,1
adder_dcop_09,4,0.000181336,1
adder_dcop_09,5,0.000140962,1
adder_dcop_10,0,0.000116191,1
adder_dcop_10,1,7.21994e-05,1
adder_dcop_10,2,0.000149199,1
adder_dcop_10,3,0.000114049,1
