matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000124232,1
1138_bus,1,9.79181e-06,1
1138_bus,2,0.000251871,1
1138_bus,3,2.02104e-05,1
1138_bus,4,0.00015129,1
1138_bus,5,1.48085e-05,1
144,0,0.000238082,3
144,1,7.90088e-05,3
144,2,inf,3
144,3,7.44604e-05,3
144,4,0.000227475,3
144,5,8.67788e-05,3
2D_27628_bjtcai,0,0.000153085,1
2D_27628_bjtcai,1,2.22743e-05,1
2D_27628_bjtcai,2,0.00103252,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000210228,1
2D_27628_bjtcai,5,2.28197e-05,1
2D_54019_highK,0,0.000200552,1
2D_54019_highK,1,6.67066e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00118372,1
2D_54019_highK,4,0.000197701,1
2D_54019_highK,5,9.7496e-05,1
333SP,0,0.00135324,5
333SP,1,0.00120532,5
333SP,2,inf,5
333SP,3,0.00136964,5
333SP,4,0.00166896,5
333SP,5,0.00116825,5
3D_28984_Tetra,0,0.000159072,1
3D_28984_Tetra,1,9.81056e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000176451,1
3D_28984_Tetra,5,0.000298007,1
3D_51448_3D,0,0.000195705,1
3D_51448_3D,1,0.000169635,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000173899,1
3D_51448_3D,5,0.000283651,1
3dtube,0,0.000279692,1
3dtube,1,0.000126406,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000235919,1
3dtube,5,0.000153772,1
3elt,0,0.000141098,5
3elt,1,1.20684e-05,5
3elt,2,0.000688615,5
3elt,3,1.80657e-05,5
3elt,4,0.00016793,5
3elt,5,1.81289e-06,5
3elt_dual,0,0.000143974,1
3elt_dual,1,1.23756e-05,1
3elt_dual,2,0.000577228,1
3elt_dual,3,1.69893e-05,1
3elt_dual,4,0.000163313,1
3elt_dual,5,1.75837e-05,1
494_bus,0,0.000110038,1
494_bus,1,9.07776e-06,1
494_bus,2,0.000170588,1
494_bus,3,1.81647e-05,1
494_bus,4,0.000144719,1
494_bus,5,1.28658e-05,1
598a,0,0.000206308,5
598a,1,6.49116e-05,5
598a,2,inf,5
598a,3,6.2394e-05,5
598a,4,0.000208845,5
598a,5,1.79341e-06,5
662_bus,0,0.000131408,1
662_bus,1,9.09914e-06,1
662_bus,2,0.0001856,1
662_bus,3,1.84183e-05,1
662_bus,4,0.000161767,1
662_bus,5,1.30167e-05,1
685_bus,0,0.000137388,1
685_bus,1,9.37679e-06,1
685_bus,2,0.000140258,1
685_bus,3,1.9132e-05,1
685_bus,4,0.000144386,1
685_bus,5,1.33681e-05,1
a0nsdsil,0,0.000167672,0
a0nsdsil,1,0.000523651,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.000184403,0
a0nsdsil,5,0.00084301,0
a2nnsnsl,0,0.000165695,4
a2nnsnsl,1,0.000495986,4
a2nnsnsl,2,inf,4
a2nnsnsl,3,inf,4
a2nnsnsl,4,0.000159044,4
a2nnsnsl,5,0.000830513,4
a5esindl,0,0.000154682,0
a5esindl,1,0.000868348,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000176597,0
a5esindl,5,0.00150421,0
ABACUS_shell_ud,0,0.000169043,1
ABACUS_shell_ud,1,1.91426e-05,1
ABACUS_shell_ud,2,0.000353595,1
ABACUS_shell_ud,3,2.41788e-05,1
ABACUS_shell_ud,4,0.000150049,1
ABACUS_shell_ud,5,2.12873e-05,1
ACTIVSg10K,0,0.000132589,1
ACTIVSg10K,1,1.50044e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,4.32427e-05,1
ACTIVSg10K,4,0.000150615,1
ACTIVSg10K,5,2.14985e-05,1
ACTIVSg2000,0,0.000126793,1
ACTIVSg2000,1,1.36786e-05,1
ACTIVSg2000,2,0.00136187,1
ACTIVSg2000,3,0.000757664,1
ACTIVSg2000,4,0.000151641,1
ACTIVSg2000,5,1.82129e-05,1
ACTIVSg70K,0,0.000162544,1
ACTIVSg70K,1,1.87116e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,3.64765e-05,1
ACTIVSg70K,4,0.000162436,1
ACTIVSg70K,5,2.56981e-05,1
adaptive,0,0.00151265,5
adaptive,1,0.00131597,5
adaptive,2,inf,5
adaptive,3,0.00178376,5
adaptive,4,0.00228981,5
adaptive,5,0.00122677,5
add20,0,0.000134601,1
add20,1,1.43918e-05,1
add20,2,0.00133334,1
add20,3,0.00372937,1
add20,4,0.000146981,1
add20,5,1.98418e-05,1
add32,0,0.000122683,1
add32,1,1.20243e-05,1
add32,2,0.00156997,1
add32,3,0.00365701,1
add32,4,0.000174581,1
add32,5,1.57427e-05,1
adder_dcop_01,0,0.000120023,1
adder_dcop_01,1,7.21306e-05,1
adder_dcop_01,2,0.00142616,1
adder_dcop_01,3,0.000899491,1
adder_dcop_01,4,0.000170231,1
adder_dcop_01,5,0.000119431,1
adder_dcop_02,0,0.000139171,1
adder_dcop_02,1,7.23315e-05,1
adder_dcop_02,2,0.00142921,1
adder_dcop_02,3,0.000900349,1
adder_dcop_02,4,0.000164701,1
adder_dcop_02,5,0.000119388,1
adder_dcop_03,0,0.00011622,1
adder_dcop_03,1,7.14091e-05,1
adder_dcop_03,2,0.00142901,1
adder_dcop_03,3,0.000904099,1
adder_dcop_03,4,0.000140468,1
adder_dcop_03,5,0.000118328,1
adder_dcop_04,0,0.000135034,1
adder_dcop_04,1,7.18638e-05,1
adder_dcop_04,2,0.00142782,1
adder_dcop_04,3,0.000899478,1
adder_dcop_04,4,0.000144157,1
adder_dcop_04,5,0.000118639,1
adder_dcop_05,0,0.000126654,1
adder_dcop_05,1,7.18454e-05,1
adder_dcop_05,2,0.00142781,1
adder_dcop_05,3,0.000903144,1
adder_dcop_05,4,0.000158215,1
adder_dcop_05,5,0.000118652,1
adder_dcop_06,0,0.000126811,1
adder_dcop_06,1,7.22638e-05,1
adder_dcop_06,2,0.00142878,1
adder_dcop_06,3,0.000904055,1
adder_dcop_06,4,0.000158954,1
adder_dcop_06,5,0.000119,1
adder_dcop_07,0,0.000128379,1
adder_dcop_07,1,7.14545e-05,1
adder_dcop_07,2,0.00142672,1
adder_dcop_07,3,0.00090093,1
adder_dcop_07,4,0.000156707,1
adder_dcop_07,5,0.000118879,1
adder_dcop_08,0,0.000135223,1
adder_dcop_08,1,7.17976e-05,1
adder_dcop_08,2,0.00142956,1
adder_dcop_08,3,0.000899647,1
adder_dcop_08,4,0.000163175,1
adder_dcop_08,5,0.000118755,1
adder_dcop_09,0,0.000134316,1
adder_dcop_09,1,7.18764e-05,1
adder_dcop_09,2,0.00142877,1
adder_dcop_09,3,0.000902646,1
adder_dcop_09,4,0.000162412,1
adder_dcop_09,5,0.000119503,1
adder_dcop_10,0,0.000130686,1
adder_dcop_10,1,7.19252e-05,1
adder_dcop_10,2,0.00143033,1
adder_dcop_10,3,0.000902074,1
adder_dcop_10,4,0.000162336,1
adder_dcop_10,5,0.000119168,1
adder_dcop_11,0,0.000136687,1
adder_dcop_11,1,7.20622e-05,1
adder_dcop_11,2,0.0014258,1
adder_dcop_11,3,0.000894902,1
adder_dcop_11,4,0.000164273,1
adder_dcop_11,5,0.000119299,1
adder_dcop_12,0,0.000138489,1
adder_dcop_12,1,7.2338e-05,1
adder_dcop_12,2,0.00142831,1
adder_dcop_12,3,0.000902288,1
adder_dcop_12,4,0.000164904,1
adder_dcop_12,5,0.0001194,1
adder_dcop_13,0,0.00013746,1
adder_dcop_13,1,7.18938e-05,1
adder_dcop_13,2,0.00142687,1
adder_dcop_13,3,0.000898034,1
adder_dcop_13,4,0.00016393,1
adder_dcop_13,5,0.000119458,1
adder_dcop_14,0,0.000138377,1
adder_dcop_14,1,7.2308e-05,1
adder_dcop_14,2,0.00142889,1
adder_dcop_14,3,0.000903061,1
adder_dcop_14,4,0.00016505,1
adder_dcop_14,5,0.000119287,1
adder_dcop_15,0,0.000138327,1
adder_dcop_15,1,7.20426e-05,1
adder_dcop_15,2,0.00143032,1
adder_dcop_15,3,0.000900967,1
adder_dcop_15,4,0.00016504,1
adder_dcop_15,5,0.000119495,1
adder_dcop_16,0,0.00013818,1
adder_dcop_16,1,7.1902e-05,1
adder_dcop_16,2,0.00143013,1
adder_dcop_16,3,0.000902755,1
adder_dcop_16,4,0.000165509,1
adder_dcop_16,5,0.000119489,1
adder_dcop_17,0,0.000138059,1
adder_dcop_17,1,7.20764e-05,1
adder_dcop_17,2,0.00142587,1
adder_dcop_17,3,0.000900236,1
adder_dcop_17,4,0.000164804,1
adder_dcop_17,5,0.000119588,1
adder_dcop_18,0,0.000138328,1
adder_dcop_18,1,7.21089e-05,1
adder_dcop_18,2,0.00143119,1
adder_dcop_18,3,0.000904415,1
adder_dcop_18,4,0.000165467,1
adder_dcop_18,5,0.000119361,1
adder_dcop_19,0,0.000138018,1
adder_dcop_19,1,7.19952e-05,1
adder_dcop_19,2,0.0014286,1
adder_dcop_19,3,0.000901602,1
adder_dcop_19,4,0.000164689,1
adder_dcop_19,5,0.000118786,1
adder_dcop_20,0,0.000139206,1
adder_dcop_20,1,7.17361e-05,1
adder_dcop_20,2,0.00142957,1
