,matrix,Tcsr,Topt,OptimumFormat,speedup,experiment,matrix_id
3743,mawi_201512020000,6.1006,0.0046102,0,1323.2831547438288,instinct-square_set-hip-1000,0
3744,mawi_201512012345,3.09007,0.00234117,0,1319.882793645912,instinct-square_set-hip-1000,1
3745,mawi_201512020030,11.8612,0.00941446,0,1259.8916985148378,instinct-square_set-hip-1000,321
3231,mawi_201512020030,6.36312,0.00569913,0,1116.5072563707092,ampere-square_set-cuda-1000,321
3232,mawi_201512020000,3.36949,0.00346785,0,971.6366048127802,ampere-square_set-cuda-1000,0
3233,mawi_201512012345,1.58819,0.00227529,0,698.016516575909,ampere-square_set-cuda-1000,1
0,mawi_201512020000,2.46299,0.00417529,0,589.8967496868481,cirrus-square_set-cuda-1000,0
1,mawi_201512012345,1.13171,0.00218904,0,516.989182472682,cirrus-square_set-cuda-1000,1
3746,FullChip,0.229543,0.00113643,0,201.98604401502953,instinct-square_set-hip-1000,3
3747,lp1,0.0379327,0.000223236,0,169.92196599114837,instinct-square_set-hip-1000,2
3748,ASIC_680k,0.0331461,0.000302416,0,109.60431987725516,instinct-square_set-hip-1000,4
3749,rajat29,0.0340551,0.00034428,0,98.9168699895434,instinct-square_set-hip-1000,5
3750,wiki-talk-temporal,0.030376,0.000334906,0,90.7000770365416,instinct-square_set-hip-1000,7
3751,ins2,0.0224954,0.000264785,0,84.95722945030873,instinct-square_set-hip-1000,6
3752,boyd2,0.0142004,0.000221203,0,64.19623603658178,instinct-square_set-hip-1000,9
3234,mycielskian2,0.000678906,1.08965e-05,0,62.30496030835589,ampere-square_set-cuda-1000,20
3753,ASIC_320k,0.0151461,0.000252532,0,59.97695341580473,instinct-square_set-hip-1000,10
2,lp1,0.0134735,0.000225988,0,59.6204223233092,cirrus-square_set-cuda-1000,2
3754,rajat21,0.0144004,0.000242781,0,59.31436150275351,instinct-square_set-hip-1000,8
3235,mycielskian3,0.000668762,1.18172e-05,0,56.59225535659886,ampere-square_set-cuda-1000,23
3236,b1_ss,0.000669515,1.19995e-05,0,55.795241468394515,ampere-square_set-cuda-1000,22
3755,rajat30,0.0195254,0.000375958,0,51.93505657546853,instinct-square_set-hip-1000,11
3756,wiki-Talk,0.0240623,0.000498367,0,48.282289959006114,instinct-square_set-hip-1000,13
3237,FullChip,0.0765625,0.00171833,0,44.55634249532977,ampere-square_set-cuda-1000,3
3,FullChip,0.0694346,0.00157266,0,44.151056172344944,cirrus-square_set-cuda-1000,3
3757,dc3,0.00848321,0.000196745,4,43.11779206587207,instinct-square_set-hip-1000,14
3758,dc1,0.00847828,0.000196951,0,43.0476616011089,instinct-square_set-hip-1000,15
3759,trans4,0.00848955,0.000197698,0,42.942012564618764,instinct-square_set-hip-1000,12
3760,trans5,0.00849523,0.000197938,0,42.91864119067587,instinct-square_set-hip-1000,16
3761,dc2,0.0084513,0.000197647,0,42.759566297489975,instinct-square_set-hip-1000,17
3762,rajat24,0.00774286,0.000219407,0,35.28994061265137,instinct-square_set-hip-1000,18
4,ASIC_680k,0.0105004,0.00033501,0,31.34354198382138,cirrus-square_set-cuda-1000,4
3763,circuit5M,0.0692007,0.00242715,0,28.51109325752426,instinct-square_set-hip-1000,21
5,rajat29,0.00964284,0.000357276,0,26.989890168945017,cirrus-square_set-cuda-1000,5
6,ins2,0.00680035,0.000260298,0,26.125248753351926,cirrus-square_set-cuda-1000,6
3764,Raj1,0.00449821,0.000191311,0,23.512552858957402,instinct-square_set-hip-1000,25
3765,ASIC_100k,0.00410489,0.000175887,4,23.33822283625282,instinct-square_set-hip-1000,24
7,wiki-talk-temporal,0.00888867,0.000385804,0,23.039341219894037,cirrus-square_set-cuda-1000,7
3766,transient,0.00455585,0.000206992,0,22.009787817886682,instinct-square_set-hip-1000,19
3767,boyd1,0.00382901,0.000193439,0,19.794405471492304,instinct-square_set-hip-1000,26
8,rajat21,0.00477462,0.000246615,0,19.360622833161003,cirrus-square_set-cuda-1000,8
9,boyd2,0.00397544,0.000216396,0,18.37113440174495,cirrus-square_set-cuda-1000,9
10,ASIC_320k,0.00450126,0.00026508,0,16.98076052512449,cirrus-square_set-cuda-1000,10
1776,wiki-talk-temporal,0.0310226,0.0020024,0,15.492708749500599,a64fx-square_set-openmp-1000,7
1777,wiki-Talk,0.0790234,0.00525119,0,15.048665159706655,a64fx-square_set-openmp-1000,13
11,rajat30,0.00574385,0.000396302,0,14.493618503060796,cirrus-square_set-cuda-1000,11
12,trans4,0.00271909,0.000187799,0,14.478724593847678,cirrus-square_set-cuda-1000,12
3768,nxp1,0.00382415,0.00026838,0,14.249012594083018,instinct-square_set-hip-1000,27
13,wiki-Talk,0.00792722,0.000563537,0,14.066902439413916,cirrus-square_set-cuda-1000,13
