matrix,Nrows,Ncols,Nnnz,AvgNnnz,Density,MaxRowNnnz,MinRowNnnz,StdRowNnnz,NDiags,NTrueDiags
1138_bus,1138,1138,4054,3.56239,0.0031304,18,2,1.80218,625,3
144,144649,144649,2.14879e+06,14.8552,0.000102698,26,4,2.71831,208770,2
2D_27628_bjtcai,27628,27628,442898,16.0308,0.000580236,90,9,2.94233,1905,15
2D_54019_highK,54019,54019,996414,18.4456,0.000341465,1426,6,6.92217,7134,11
333SP,3.71282e+06,3.71282e+06,2.22173e+07,5.98394,1.6117e-06,28,2,0.702961,3.43263e+06,2
3D_28984_Tetra,28984,28984,599170,20.6724,0.000713236,3817,12,29.7392,9536,31
3D_51448_3D,51448,51448,1.05661e+06,20.5374,0.000399188,5671,12,28.4033,11628,19
3dtube,45330,45330,3.21362e+06,70.8938,0.00156395,2364,10,39.731,6455,87
3elt,4720,4720,27444,5.81441,0.00123187,9,3,0.670729,1320,0
3elt_dual,9000,9000,26556,2.95067,0.000327852,3,2,0.216563,1042,2
494_bus,494,494,1666,3.37247,0.00682686,10,2,1.41812,465,1
598a,110971,110971,1.48387e+06,13.3717,0.000120497,26,5,2.91506,193884,0
662_bus,662,662,2474,3.73716,0.00564526,10,2,1.48419,463,1
685_bus,685,685,3249,4.74307,0.00692418,13,2,1.79162,359,3
a0nsdsil,80016,80016,355034,4.43704,5.54519e-05,5003,3,49.985,50015,5
a2nnsnsl,80016,80016,347222,4.33941,5.42317e-05,5003,3,47.7306,49617,5
a5esindl,60008,60008,255004,4.2495,7.08156e-05,9993,3,53.9727,49985,5
ABACUS_shell_ud,23412,23412,218484,9.33214,0.000398605,15,6,1.30866,621,1
ACTIVSg10K,20000,20000,137736,6.8868,0.00034434,36,4,2.95025,6183,5
ACTIVSg2000,4000,4000,29336,7.334,0.0018335,34,4,3.34491,2651,3
ACTIVSg70K,69999,69999,238627,3.40901,4.87008e-05,28,2,1.52088,8913,3
adaptive,6.81574e+06,6.81574e+06,2.72486e+07,3.9979,5.86568e-07,4,2,0.045827,3.71979e+06,4
add20,2395,2395,17319,7.23132,0.00301934,124,2,13.0319,2825,3
add32,4960,4960,23884,4.81532,0.000970831,32,2,3.68341,3899,3
adder_dcop_01,1813,1813,11156,6.15334,0.00339401,1310,1,30.7773,3112,2
adder_dcop_02,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_03,1813,1813,11148,6.14892,0.00339157,1310,1,30.7776,3126,2
adder_dcop_04,1813,1813,11107,6.12631,0.0033791,1310,1,30.7795,3123,2
adder_dcop_05,1813,1813,11097,6.12079,0.00337606,1310,1,30.7773,3124,2
adder_dcop_06,1813,1813,11224,6.19084,0.0034147,1310,1,30.7773,3126,2
adder_dcop_07,1813,1813,11226,6.19195,0.0034153,1310,1,30.7769,3126,2
adder_dcop_08,1813,1813,11242,6.20077,0.00342017,1310,1,30.7772,3127,2
adder_dcop_09,1813,1813,11239,6.19912,0.00341926,1310,1,30.7771,3127,2
adder_dcop_10,1813,1813,11232,6.19526,0.00341713,1310,1,30.7775,3127,2
adder_dcop_11,1813,1813,11243,6.20132,0.00342048,1310,1,30.7772,3127,2
adder_dcop_12,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_13,1813,1813,11245,6.20243,0.00342108,1310,1,30.7771,3127,2
adder_dcop_14,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_15,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_16,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_17,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_18,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_19,1813,1813,11245,6.20243,0.00342108,1310,1,30.7772,3127,2
adder_dcop_20,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_21,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_22,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_23,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_24,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_25,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_26,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_27,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_28,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_29,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_30,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_31,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_32,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_33,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_34,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_35,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_36,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_37,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_38,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_39,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_40,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_41,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
