matrix,Nrows,Ncols,Nnnz,AvgNnnz,Density,MaxRowNnnz,MinRowNnnz,StdRowNnnz,NDiags,NTrueDiags,AvgNnnzDia,AvgNnnzELL,AvgNnnzHyb,AvgNnnzHdc
1138_bus,1138,1138,4054,3.56239,0.0031304,18,2,1.80218,625,3,0.00569982,0.197911,1.23219,0.418637
144,144649,144649,2.14879e+06,14.8552,0.000102698,26,4,2.71831,208770,2,7.11557e-05,0.571353,1.82982,0.387912
2D_27628_bjtcai,27628,27628,442898,16.0308,0.000580236,90,9,2.94233,1905,15,0.0084151,0.17812,1.21252,0.498975
2D_54019_highK,54019,54019,996414,18.4456,0.000341465,1426,6,6.92217,7134,11,0.00258559,0.0129352,1.43594,0.578634
333SP,3.71282e+06,3.71282e+06,2.22173e+07,5.98394,1.6117e-06,28,2,0.702961,3.43263e+06,2,1.74325e-06,0.213712,3.51041,0.44272
3D_28984_Tetra,28984,28984,599170,20.6724,0.000713236,3817,12,29.7392,9536,31,0.00216783,0.00541589,0.770983,0.353667
3D_51448_3D,51448,51448,1.05661e+06,20.5374,0.000399188,5671,12,28.4033,11628,19,0.00176621,0.00362148,0.776373,0.464946
3dtube,45330,45330,3.21362e+06,70.8938,0.00156395,2364,10,39.731,6455,87,0.0109828,0.0299889,1.35576,0.422357
3elt,4720,4720,27444,5.81441,0.00123187,9,3,0.670729,1320,0,0.00440485,0.646045,4.09012,0.781457
3elt_dual,9000,9000,26556,2.95067,0.000327852,3,2,0.216563,1042,2,0.00283173,0.983556,8.3958,0.55761
494_bus,494,494,1666,3.37247,0.00682686,10,2,1.41812,465,1,0.00725262,0.337247,1.26018,0.447269
598a,110971,110971,1.48387e+06,13.3717,0.000120497,26,5,2.91506,193884,0,6.89674e-05,0.514295,1.68909,0.364012
662_bus,662,662,2474,3.73716,0.00564526,10,2,1.48419,463,1,0.00807162,0.373716,1.29477,0.508785
685_bus,685,685,3249,4.74307,0.00692418,13,2,1.79162,359,3,0.0132119,0.364851,1.40086,0.464639
a0nsdsil,80016,80016,355034,4.43704,5.54519e-05,5003,3,49.985,50015,5,8.87141e-05,0.000886875,0.206206,0.363388
a2nnsnsl,80016,80016,347222,4.33941,5.42317e-05,5003,3,47.7306,49617,5,8.74581e-05,0.000867361,0.223173,0.360717
a5esindl,60008,60008,255004,4.2495,7.08156e-05,9993,3,53.9727,49985,5,8.50155e-05,0.000425248,0.2548,0.332281
ABACUS_shell_ud,23412,23412,218484,9.33214,0.000398605,15,6,1.30866,621,1,0.0150276,0.622142,1.08659,0.882115
ACTIVSg10K,20000,20000,137736,6.8868,0.00034434,36,4,2.95025,6183,5,0.00111383,0.1913,1.34516,0.491418
ACTIVSg2000,4000,4000,29336,7.334,0.0018335,34,4,3.34491,2651,3,0.0027665,0.215706,1.34344,0.482846
ACTIVSg70K,69999,69999,238627,3.40901,4.87008e-05,28,2,1.52088,8913,3,0.000382476,0.12175,1.30231,0.498179
adaptive,6.81574e+06,6.81574e+06,2.72486e+07,3.9979,5.86568e-07,4,2,0.045827,3.71979e+06,4,1.07476e-06,0.999474,73.8473,0.392728
add20,2395,2395,17319,7.23132,0.00301934,124,2,13.0319,2825,3,0.00255976,0.0583171,0.910082,0.385631
add32,4960,4960,23884,4.81532,0.000970831,32,2,3.68341,3899,3,0.00123501,0.150479,1.06249,0.415197
adder_dcop_01,1813,1813,11156,6.15334,0.00339401,1310,1,30.7773,3112,2,0.00197729,0.0046972,0.457144,0.328902
adder_dcop_02,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_03,1813,1813,11148,6.14892,0.00339157,1310,1,30.7776,3126,2,0.00196703,0.00469384,0.461578,0.328044
adder_dcop_04,1813,1813,11107,6.12631,0.0033791,1310,1,30.7795,3123,2,0.00196167,0.00467657,0.466615,0.328093
adder_dcop_05,1813,1813,11097,6.12079,0.00337606,1310,1,30.7773,3124,2,0.00195928,0.00467236,0.462048,0.328002
adder_dcop_06,1813,1813,11224,6.19084,0.0034147,1310,1,30.7773,3126,2,0.00198044,0.00472584,0.460885,0.328281
adder_dcop_07,1813,1813,11226,6.19195,0.0034153,1310,1,30.7769,3126,2,0.00198079,0.00472668,0.460944,0.328287
adder_dcop_08,1813,1813,11242,6.20077,0.00342017,1310,1,30.7772,3127,2,0.00198298,0.00473341,0.459992,0.328278
adder_dcop_09,1813,1813,11239,6.19912,0.00341926,1310,1,30.7771,3127,2,0.00198245,0.00473215,0.459448,0.328268
adder_dcop_10,1813,1813,11232,6.19526,0.00341713,1310,1,30.7775,3127,2,0.00198121,0.0047292,0.459251,0.328247
adder_dcop_11,1813,1813,11243,6.20132,0.00342048,1310,1,30.7772,3127,2,0.00198315,0.00473383,0.459558,0.328281
adder_dcop_12,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_13,1813,1813,11245,6.20243,0.00342108,1310,1,30.7771,3127,2,0.00198351,0.00473468,0.459614,0.328287
adder_dcop_14,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_15,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_16,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_17,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_18,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
