matrix,Format,Timings,OptimumFormat
1138_bus,0,9.7279e-05,1
1138_bus,1,4.88849e-05,1
1138_bus,2,0.000211625,1
1138_bus,3,0.000106243,1
1138_bus,4,0.000154728,1
1138_bus,5,9.80422e-05,1
144,0,0.00106468,1
144,1,0.000479615,1
144,2,inf,1
144,3,0.0024671,1
144,4,0.00280534,1
144,5,0.000622435,1
2D_27628_bjtcai,0,0.000302718,1
2D_27628_bjtcai,1,0.000139933,1
2D_27628_bjtcai,2,0.0164788,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000448613,1
2D_27628_bjtcai,5,0.000161517,1
2D_54019_highK,0,0.000560896,1
2D_54019_highK,1,0.000253934,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.0135096,1
2D_54019_highK,4,0.000926171,1
2D_54019_highK,5,0.000356178,1
333SP,0,0.0296651,1
333SP,1,0.0230298,1
333SP,2,inf,1
333SP,3,0.0865852,1
333SP,4,0.0749287,1
333SP,5,0.0253248,1
3D_28984_Tetra,0,0.000387069,1
3D_28984_Tetra,1,0.000170207,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000573316,1
3D_28984_Tetra,5,0.000334391,1
3D_51448_3D,0,0.000597186,1
3D_51448_3D,1,0.000264872,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000857993,1
3D_51448_3D,5,0.000449026,1
3dtube,0,0.00217305,1
3dtube,1,0.000733452,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.00265269,1
3dtube,5,0.00137573,1
3elt,0,0.000106204,1
3elt,1,5.28611e-05,1
3elt,2,0.00152755,1
3elt,3,0.000133576,1
3elt,4,0.000182349,1
3elt,5,0.000107071,1
3elt_dual,0,0.000103558,1
3elt_dual,1,5.31856e-05,1
3elt_dual,2,0.00277329,1
3elt_dual,3,0.00014914,1
3elt_dual,4,0.000194014,1
3elt_dual,5,0.000109414,1
494_bus,0,9.75728e-05,1
494_bus,1,4.85348e-05,1
494_bus,2,9.76063e-05,1
494_bus,3,9.97025e-05,1
494_bus,4,0.000150643,1
494_bus,5,9.87955e-05,1
598a,0,0.000741174,1
598a,1,0.000362906,1
598a,2,inf,1
598a,3,0.00155953,1
598a,4,0.00170316,1
598a,5,0.000458795,1
662_bus,0,9.70876e-05,1
