matrix,Format,Timings,OptimumFormat
2D_27628_bjtcai,0,0.000166813,2
2D_27628_bjtcai,1,7.15058e-05,2
2D_27628_bjtcai,2,7.14466e-05,2
2D_27628_bjtcai,3,inf,2
2D_27628_bjtcai,4,0.000208545,2
2D_27628_bjtcai,5,0.000141635,2
2D_54019_highK,0,0.000177204,1
2D_54019_highK,1,7.13892e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,7.18177e-05,1
2D_54019_highK,4,0.000205127,1
2D_54019_highK,5,0.000141515,1
a2nnsnsl,0,0.000156373,1
a2nnsnsl,1,7.25014e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000206678,1
a2nnsnsl,5,0.000142467,1
ABACUS_shell_ud,0,0.000147342,1
ABACUS_shell_ud,1,7.14386e-05,1
ABACUS_shell_ud,2,7.21906e-05,1
ABACUS_shell_ud,3,7.80763e-05,1
ABACUS_shell_ud,4,0.000186199,1
ABACUS_shell_ud,5,0.000140888,1
adder_dcop_02,0,0.000118668,2
adder_dcop_02,1,7.20098e-05,2
adder_dcop_02,2,7.17061e-05,2
adder_dcop_02,3,7.23679e-05,2
adder_dcop_02,4,0.000190239,2
adder_dcop_02,5,0.000142156,2
adder_dcop_05,0,0.000119431,1
adder_dcop_05,1,7.13745e-05,1
adder_dcop_05,2,7.17842e-05,1
adder_dcop_05,3,7.16484e-05,1
adder_dcop_05,4,0.000186507,1
adder_dcop_05,5,0.000141212,1
adder_dcop_06,0,0.000119655,1
adder_dcop_06,1,7.18675e-05,1
adder_dcop_06,2,7.25251e-05,1
adder_dcop_06,3,7.28095e-05,1
adder_dcop_06,4,0.000188689,1
adder_dcop_06,5,0.000142124,1
adder_dcop_07,0,0.000119891,2
adder_dcop_07,1,7.25361e-05,2
adder_dcop_07,2,7.22259e-05,2
adder_dcop_07,3,7.29447e-05,2
adder_dcop_07,4,0.000187367,2
adder_dcop_07,5,0.000142493,2
adder_dcop_08,0,0.000116879,2
adder_dcop_08,1,7.17994e-05,2
adder_dcop_08,2,7.09972e-05,2
adder_dcop_08,3,7.22424e-05,2
adder_dcop_08,4,0.000187596,2
adder_dcop_08,5,0.000141888,2
adder_dcop_10,0,0.000114476,1
adder_dcop_10,1,7.06261e-05,1
adder_dcop_10,2,7.18816e-05,1
adder_dcop_10,3,7.13995e-05,1
adder_dcop_10,4,0.000187381,1
adder_dcop_10,5,0.000141845,1
adder_dcop_11,0,0.000116784,2
adder_dcop_11,1,7.17513e-05,2
adder_dcop_11,2,7.11958e-05,2
adder_dcop_11,3,7.18973e-05,2
adder_dcop_11,4,0.000189784,2
adder_dcop_11,5,0.000138539,2
adder_dcop_12,0,0.00011607,1
