matrix,Format,Timings,OptimumFormat
2D_27628_bjtcai,0,6.13509e-05,1
2D_27628_bjtcai,1,2.62075e-05,1
2D_27628_bjtcai,2,0.00717984,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000101154,1
2D_27628_bjtcai,5,3.15818e-05,1
2D_54019_highK,0,0.000104008,1
2D_54019_highK,1,5.00474e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00620455,1
2D_54019_highK,4,0.000142259,1
2D_54019_highK,5,6.85155e-05,1
a2nnsnsl,0,6.26192e-05,1
a2nnsnsl,1,4.17996e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000166535,1
a2nnsnsl,5,6.85104e-05,1
ABACUS_shell_ud,0,4.00698e-05,1
ABACUS_shell_ud,1,1.74512e-05,1
ABACUS_shell_ud,2,0.00120874,1
ABACUS_shell_ud,3,6.17753e-05,1
ABACUS_shell_ud,4,7.97713e-05,1
ABACUS_shell_ud,5,3.09452e-05,1
adder_dcop_02,0,2.83017e-05,1
adder_dcop_02,1,1.18387e-05,1
adder_dcop_02,2,0.000248234,1
adder_dcop_02,3,8.08254e-05,1
adder_dcop_02,4,4.1944e-05,1
adder_dcop_02,5,2.36371e-05,1
adder_dcop_05,0,2.88597e-05,1
adder_dcop_05,1,1.21513e-05,1
adder_dcop_05,2,0.000249192,1
adder_dcop_05,3,8.07947e-05,1
adder_dcop_05,4,4.28219e-05,1
adder_dcop_05,5,2.40452e-05,1
adder_dcop_06,0,2.90056e-05,1
adder_dcop_06,1,1.21898e-05,1
adder_dcop_06,2,0.000248123,1
adder_dcop_06,3,8.10073e-05,1
adder_dcop_06,4,4.36495e-05,1
adder_dcop_06,5,2.46756e-05,1
adder_dcop_07,0,2.93483e-05,1
adder_dcop_07,1,1.22988e-05,1
adder_dcop_07,2,0.000248782,1
adder_dcop_07,3,8.16243e-05,1
adder_dcop_07,4,4.28492e-05,1
adder_dcop_07,5,2.39828e-05,1
adder_dcop_08,0,2.86129e-05,1
adder_dcop_08,1,1.19268e-05,1
adder_dcop_08,2,0.000248641,1
adder_dcop_08,3,9.72051e-05,1
adder_dcop_08,4,4.27226e-05,1
adder_dcop_08,5,2.36946e-05,1
adder_dcop_10,0,2.84904e-05,1
adder_dcop_10,1,1.21828e-05,1
adder_dcop_10,2,0.000248619,1
adder_dcop_10,3,7.98821e-05,1
adder_dcop_10,4,4.24966e-05,1
adder_dcop_10,5,2.3803e-05,1
adder_dcop_11,0,2.92226e-05,1
adder_dcop_11,1,1.21065e-05,1
adder_dcop_11,2,0.000249186,1
adder_dcop_11,3,8.12009e-05,1
adder_dcop_11,4,4.30401e-05,1
adder_dcop_11,5,2.36807e-05,1
adder_dcop_12,0,2.95222e-05,1
adder_dcop_12,1,1.16688e-05,1
adder_dcop_12,2,0.000248419,1
adder_dcop_12,3,8.03865e-05,1
adder_dcop_12,4,4.39688e-05,1
adder_dcop_12,5,2.3708e-05,1
adder_dcop_17,0,2.85872e-05,1
adder_dcop_17,1,1.22013e-05,1
adder_dcop_17,2,0.000248815,1
adder_dcop_17,3,7.96976e-05,1
adder_dcop_17,4,4.30992e-05,1
adder_dcop_17,5,2.39404e-05,1
adder_dcop_20,0,2.99077e-05,1
adder_dcop_20,1,1.24209e-05,1
adder_dcop_20,2,0.000257468,1
adder_dcop_20,3,8.06954e-05,1
adder_dcop_20,4,4.41319e-05,1
adder_dcop_20,5,2.43053e-05,1
adder_dcop_26,0,3.04148e-05,1
adder_dcop_26,1,1.18729e-05,1
adder_dcop_26,2,0.000249204,1
adder_dcop_26,3,8.08262e-05,1
adder_dcop_26,4,4.42895e-05,1
adder_dcop_26,5,2.40257e-05,1
adder_dcop_32,0,3.04412e-05,1
adder_dcop_32,1,1.21641e-05,1
adder_dcop_32,2,0.000250104,1
adder_dcop_32,3,8.20065e-05,1
adder_dcop_32,4,4.48995e-05,1
adder_dcop_32,5,2.45885e-05,1
adder_dcop_34,0,2.81487e-05,1
adder_dcop_34,1,1.28957e-05,1
adder_dcop_34,2,0.000249336,1
adder_dcop_34,3,9.15688e-05,1
adder_dcop_34,4,4.1998e-05,1
adder_dcop_34,5,2.40289e-05,1
adder_dcop_35,0,3.0277e-05,1
adder_dcop_35,1,1.24341e-05,1
adder_dcop_35,2,0.000251722,1
adder_dcop_35,3,8.2028e-05,1
adder_dcop_35,4,4.36117e-05,1
adder_dcop_35,5,2.37125e-05,1
adder_dcop_37,0,2.93624e-05,1
adder_dcop_37,1,1.20423e-05,1
adder_dcop_37,2,0.000259328,1
adder_dcop_37,3,9.73042e-05,1
adder_dcop_37,4,4.33766e-05,1
adder_dcop_37,5,2.38902e-05,1
adder_dcop_42,0,2.84016e-05,1
adder_dcop_42,1,1.2045e-05,1
adder_dcop_42,2,0.000248534,1
