matrix,Format,Timings,OptimumFormat
1138_bus,0,2.62836e-05,1
1138_bus,1,1.15645e-05,1
1138_bus,2,5.27998e-05,1
1138_bus,3,2.55849e-05,1
1138_bus,4,3.99822e-05,1
1138_bus,5,2.23777e-05,1
144,0,0.000284377,1
144,1,0.000191399,1
144,2,inf,1
144,3,0.000403872,1
144,4,0.000416258,1
144,5,0.000224475,1
2D_27628_bjtcai,0,5.89741e-05,1
2D_27628_bjtcai,1,2.62e-05,1
2D_27628_bjtcai,2,0.0072607,1
2D_27628_bjtcai,3,0.000152335,1
2D_27628_bjtcai,4,9.0219e-05,1
2D_27628_bjtcai,5,5.38314e-05,1
2D_54019_highK,0,0.000103714,1
2D_54019_highK,1,4.96652e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00624565,1
2D_54019_highK,4,0.000149184,1
2D_54019_highK,5,7.68199e-05,1
333SP,0,0.0141854,1
333SP,1,0.0105284,1
333SP,2,inf,1
333SP,3,0.0345733,1
333SP,4,0.0359867,1
333SP,5,0.0112714,1
3D_28984_Tetra,0,8.04989e-05,1
3D_28984_Tetra,1,4.37125e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000104136,1
3D_28984_Tetra,5,8.92552e-05,1
3D_51448_3D,0,0.000117434,1
3D_51448_3D,1,5.70768e-05,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000151618,1
3D_51448_3D,5,0.000104814,1
3dtube,0,0.000359949,1
3dtube,1,0.000167176,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000462928,1
3dtube,5,0.000316142,1
3elt,0,3.03829e-05,1
3elt,1,1.21933e-05,1
3elt,2,0.000344255,1
3elt,3,3.00312e-05,1
3elt,4,4.6925e-05,1
3elt,5,2.44482e-05,1
3elt_dual,0,2.81793e-05,1
3elt_dual,1,1.28967e-05,1
3elt_dual,2,0.000531612,1
3elt_dual,3,3.44945e-05,1
3elt_dual,4,4.96941e-05,1
3elt_dual,5,2.43693e-05,1
494_bus,0,2.98419e-05,1
494_bus,1,1.11125e-05,1
494_bus,2,2.02312e-05,1
494_bus,3,2.42121e-05,1
494_bus,4,4.23405e-05,1
494_bus,5,2.26029e-05,1
598a,0,0.000208731,1
598a,1,0.000161319,1
598a,2,inf,1
598a,3,0.000351116,1
598a,4,0.000330055,1
598a,5,0.000175667,1
662_bus,0,2.80545e-05,1
662_bus,1,1.14271e-05,1
662_bus,2,2.51078e-05,1
662_bus,3,2.62789e-05,1
662_bus,4,4.23445e-05,1
662_bus,5,2.31048e-05,1
685_bus,0,2.82143e-05,1
685_bus,1,1.08712e-05,1
685_bus,2,5.46281e-05,1
685_bus,3,2.47266e-05,1
685_bus,4,4.08468e-05,1
685_bus,5,2.20493e-05,1
a0nsdsil,0,5.43558e-05,1
a0nsdsil,1,3.94117e-05,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.000169888,1
a0nsdsil,5,6.51319e-05,1
a2nnsnsl,0,6.19378e-05,1
a2nnsnsl,1,4.12545e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.00016683,1
a2nnsnsl,5,6.66354e-05,1
a5esindl,0,4.71655e-05,0
a5esindl,1,4.76964e-05,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.000137104,0
a5esindl,5,6.83008e-05,0
ABACUS_shell_ud,0,3.97077e-05,1
ABACUS_shell_ud,1,1.7318e-05,1
ABACUS_shell_ud,2,0.00118222,1
ABACUS_shell_ud,3,6.23914e-05,1
ABACUS_shell_ud,4,7.96814e-05,1
ABACUS_shell_ud,5,2.98532e-05,1
ACTIVSg10K,0,3.53622e-05,1
ACTIVSg10K,1,1.77244e-05,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,7.87429e-05,1
ACTIVSg10K,4,7.25698e-05,1
ACTIVSg10K,5,3.08621e-05,1
ACTIVSg2000,0,2.92054e-05,1
ACTIVSg2000,1,1.3071e-05,1
ACTIVSg2000,2,0.000488769,1
ACTIVSg2000,3,3.27849e-05,1
ACTIVSg2000,4,4.56129e-05,1
ACTIVSg2000,5,2.4266e-05,1
ACTIVSg70K,0,3.88263e-05,1
ACTIVSg70K,1,2.48635e-05,1
ACTIVSg70K,2,inf,1
ACTIVSg70K,3,0.000132464,1
ACTIVSg70K,4,0.000142823,1
ACTIVSg70K,5,4.61689e-05,1
adaptive,0,0.0149644,1
adaptive,1,0.0117019,1
adaptive,2,inf,1
adaptive,3,0.0565296,1
adaptive,4,0.0609403,1
adaptive,5,0.0146089,1
add20,0,2.89321e-05,1
add20,1,1.10938e-05,1
add20,2,0.000302974,1
add20,3,3.34026e-05,1
add20,4,4.5279e-05,1
add20,5,2.30985e-05,1
add32,0,2.88369e-05,1
add32,1,1.19458e-05,1
add32,2,0.000809496,1
add32,3,2.9809e-05,1
add32,4,4.65142e-05,1
add32,5,2.40417e-05,1
adder_dcop_01,0,2.89693e-05,1
adder_dcop_01,1,1.16924e-05,1
adder_dcop_01,2,0.000264969,1
adder_dcop_01,3,7.85204e-05,1
adder_dcop_01,4,4.22692e-05,1
adder_dcop_01,5,2.39858e-05,1
adder_dcop_02,0,2.87681e-05,1
adder_dcop_02,1,1.27419e-05,1
adder_dcop_02,2,0.000262056,1
adder_dcop_02,3,9.48826e-05,1
adder_dcop_02,4,4.20833e-05,1
adder_dcop_02,5,2.37593e-05,1
adder_dcop_03,0,3.02667e-05,1
adder_dcop_03,1,1.38629e-05,1
adder_dcop_03,2,0.000268202,1
adder_dcop_03,3,8.00504e-05,1
adder_dcop_03,4,4.39358e-05,1
adder_dcop_03,5,2.6144e-05,1
adder_dcop_04,0,2.96554e-05,1
adder_dcop_04,1,1.2695e-05,1
adder_dcop_04,2,0.000250621,1
adder_dcop_04,3,9.43691e-05,1
adder_dcop_04,4,4.31341e-05,1
adder_dcop_04,5,2.53939e-05,1
adder_dcop_05,0,2.93842e-05,1
adder_dcop_05,1,1.23709e-05,1
adder_dcop_05,2,0.000248927,1
adder_dcop_05,3,8.25151e-05,1
adder_dcop_05,4,4.33475e-05,1
adder_dcop_05,5,2.34565e-05,1
adder_dcop_06,0,2.93098e-05,1
adder_dcop_06,1,1.37228e-05,1
adder_dcop_06,2,0.000271198,1
adder_dcop_06,3,9.74028e-05,1
adder_dcop_06,4,4.31479e-05,1
adder_dcop_06,5,2.57516e-05,1
adder_dcop_07,0,2.94558e-05,1
adder_dcop_07,1,1.39083e-05,1
adder_dcop_07,2,0.0002757,1
adder_dcop_07,3,9.10186e-05,1
adder_dcop_07,4,4.36073e-05,1
adder_dcop_07,5,2.58409e-05,1
adder_dcop_08,0,2.90586e-05,1
adder_dcop_08,1,1.15244e-05,1
adder_dcop_08,2,0.000269609,1
adder_dcop_08,3,8.45597e-05,1
adder_dcop_08,4,4.25234e-05,1
adder_dcop_08,5,2.30641e-05,1
adder_dcop_09,0,2.98014e-05,1
adder_dcop_09,1,1.43327e-05,1
adder_dcop_09,2,0.000267419,1
adder_dcop_09,3,8.0761e-05,1
adder_dcop_09,4,4.36056e-05,1
adder_dcop_09,5,2.59467e-05,1
adder_dcop_10,0,2.90903e-05,1
adder_dcop_10,1,1.38297e-05,1
adder_dcop_10,2,0.000269515,1
adder_dcop_10,3,9.49703e-05,1
adder_dcop_10,4,4.28423e-05,1
adder_dcop_10,5,2.55409e-05,1
adder_dcop_11,0,3.04339e-05,1
adder_dcop_11,1,1.30096e-05,1
adder_dcop_11,2,0.000267146,1
adder_dcop_11,3,8.62626e-05,1
adder_dcop_11,4,4.4586e-05,1
adder_dcop_11,5,2.48598e-05,1
adder_dcop_12,0,2.88255e-05,1
adder_dcop_12,1,1.26544e-05,1
adder_dcop_12,2,0.000288712,1
adder_dcop_12,3,8.0943e-05,1
adder_dcop_12,4,4.23725e-05,1
adder_dcop_12,5,2.56578e-05,1
adder_dcop_13,0,2.90712e-05,1
adder_dcop_13,1,1.27556e-05,1
adder_dcop_13,2,0.000263961,1
adder_dcop_13,3,8.03263e-05,1
adder_dcop_13,4,4.23764e-05,1
adder_dcop_13,5,2.42864e-05,1
adder_dcop_14,0,2.92058e-05,1
adder_dcop_14,1,1.28239e-05,1
adder_dcop_14,2,0.000263927,1
adder_dcop_14,3,8.0587e-05,1
adder_dcop_14,4,4.3407e-05,1
adder_dcop_14,5,2.37864e-05,1
adder_dcop_15,0,3.00015e-05,1
adder_dcop_15,1,1.28835e-05,1
adder_dcop_15,2,0.000262035,1
adder_dcop_15,3,7.94901e-05,1
adder_dcop_15,4,4.51305e-05,1
adder_dcop_15,5,2.45301e-05,1
adder_dcop_16,0,3.04907e-05,1
adder_dcop_16,1,1.27312e-05,1
adder_dcop_16,2,0.000264619,1
adder_dcop_16,3,8.8891e-05,1
adder_dcop_16,4,4.51206e-05,1
adder_dcop_16,5,2.49565e-05,1
adder_dcop_17,0,2.87079e-05,1
adder_dcop_17,1,1.26786e-05,1
adder_dcop_17,2,0.000265735,1
adder_dcop_17,3,8.5145e-05,1
adder_dcop_17,4,4.26892e-05,1
adder_dcop_17,5,2.41034e-05,1
adder_dcop_18,0,2.96597e-05,1
adder_dcop_18,1,1.27836e-05,1
adder_dcop_18,2,0.000263391,1
adder_dcop_18,3,8.74915e-05,1
adder_dcop_18,4,4.28135e-05,1
adder_dcop_18,5,2.34797e-05,1
adder_dcop_19,0,2.88146e-05,1
adder_dcop_19,1,1.24861e-05,1
adder_dcop_19,2,0.000263712,1
adder_dcop_19,3,9.3091e-05,1
adder_dcop_19,4,4.23789e-05,1
adder_dcop_19,5,2.37714e-05,1
adder_dcop_20,0,2.93923e-05,1
adder_dcop_20,1,1.28729e-05,1
adder_dcop_20,2,0.000266251,1
adder_dcop_20,3,8.40732e-05,1
adder_dcop_20,4,4.31805e-05,1
adder_dcop_20,5,2.47187e-05,1
adder_dcop_21,0,2.94516e-05,1
adder_dcop_21,1,1.22521e-05,1
adder_dcop_21,2,0.000264078,1
adder_dcop_21,3,8.95085e-05,1
adder_dcop_21,4,4.2928e-05,1
adder_dcop_21,5,2.53124e-05,1
adder_dcop_22,0,2.9967e-05,1
adder_dcop_22,1,1.31424e-05,1
adder_dcop_22,2,0.000264044,1
adder_dcop_22,3,8.01378e-05,1
adder_dcop_22,4,4.54326e-05,1
adder_dcop_22,5,2.46495e-05,1
adder_dcop_23,0,2.8897e-05,1
adder_dcop_23,1,1.23826e-05,1
adder_dcop_23,2,0.000262078,1
adder_dcop_23,3,8.32521e-05,1
adder_dcop_23,4,4.21371e-05,1
adder_dcop_23,5,2.35901e-05,1
adder_dcop_24,0,2.93413e-05,1
adder_dcop_24,1,1.23063e-05,1
adder_dcop_24,2,0.000267083,1
adder_dcop_24,3,8.03833e-05,1
adder_dcop_24,4,4.2897e-05,1
adder_dcop_24,5,2.34009e-05,1
adder_dcop_25,0,2.95913e-05,1
adder_dcop_25,1,1.2535e-05,1
adder_dcop_25,2,0.000267096,1
adder_dcop_25,3,8.02901e-05,1
adder_dcop_25,4,4.34571e-05,1
adder_dcop_25,5,2.44468e-05,1
adder_dcop_26,0,3.06919e-05,1
adder_dcop_26,1,1.26356e-05,1
adder_dcop_26,2,0.000266807,1
adder_dcop_26,3,8.37647e-05,1
adder_dcop_26,4,4.4844e-05,1
adder_dcop_26,5,2.48157e-05,1
adder_dcop_27,0,2.93385e-05,1
adder_dcop_27,1,1.2236e-05,1
adder_dcop_27,2,0.000268352,1
adder_dcop_27,3,8.23911e-05,1
adder_dcop_27,4,4.329e-05,1
adder_dcop_27,5,2.43863e-05,1
adder_dcop_28,0,2.92984e-05,1
adder_dcop_28,1,1.3319e-05,1
adder_dcop_28,2,0.000266263,1
adder_dcop_28,3,8.08772e-05,1
adder_dcop_28,4,4.31385e-05,1
adder_dcop_28,5,2.41003e-05,1
adder_dcop_29,0,2.82671e-05,1
