matrix,Format,Timings,OptimumFormat
1138_bus,0,4.27884e-05,1
1138_bus,1,2.21534e-05,1
1138_bus,2,9.87741e-05,1
1138_bus,3,4.69778e-05,1
1138_bus,4,6.91435e-05,1
1138_bus,5,4.45075e-05,1
144,0,0.000980657,1
144,1,0.000814,1
144,2,inf,1
144,3,0.00130359,1
144,4,0.00128443,1
144,5,0.000914928,1
2D_27628_bjtcai,0,0.000163807,1
2D_27628_bjtcai,1,7.54383e-05,1
2D_27628_bjtcai,2,0.00658908,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.000233637,1
2D_27628_bjtcai,5,8.43601e-05,1
2D_54019_highK,0,0.000334875,1
2D_54019_highK,1,0.000133425,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.0043079,1
2D_54019_highK,4,0.000486382,1
2D_54019_highK,5,0.000178863,1
333SP,0,0.021932,1
333SP,1,0.0203163,1
333SP,2,inf,1
333SP,3,0.0445368,1
333SP,4,0.0439206,1
333SP,5,0.0207063,1
3D_28984_Tetra,0,0.000264072,1
3D_28984_Tetra,1,0.000122478,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000300459,1
3D_28984_Tetra,5,0.000214894,1
3D_51448_3D,0,0.000370124,1
3D_51448_3D,1,0.000178178,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000489012,1
3D_51448_3D,5,0.000279272,1
3dtube,0,0.0012275,1
3dtube,1,0.000540598,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.00143712,1
3dtube,5,0.000759275,1
3elt,0,4.69075e-05,1
3elt,1,2.41814e-05,1
3elt,2,0.00075795,1
3elt,3,6.13274e-05,1
3elt,4,8.06255e-05,1
3elt,5,4.55962e-05,1
3elt_dual,0,4.51831e-05,1
3elt_dual,1,2.69848e-05,1
3elt_dual,2,0.00116257,1
3elt_dual,3,6.34347e-05,1
3elt_dual,4,8.25392e-05,1
3elt_dual,5,5.04874e-05,1
494_bus,0,4.38095e-05,1
494_bus,1,2.24046e-05,1
494_bus,2,4.23236e-05,1
