matrix,Format,Timings,OptimumFormat
1138_bus,0,2.67441e-05,0
1138_bus,1,4.3119e-05,0
1138_bus,2,0.00349058,0
1138_bus,3,0.000156025,0
1138_bus,4,0.000126377,0
1138_bus,5,5.56379e-05,0
144,0,0.0280941,5
144,1,0.0253862,5
144,2,inf,5
144,3,0.0515311,5
144,4,0.049502,5
144,5,0.0231548,5
2D_27628_bjtcai,0,0.00461468,5
2D_27628_bjtcai,1,0.00227064,5
2D_27628_bjtcai,2,0.270157,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.00956609,5
2D_27628_bjtcai,5,0.0015249,5
2D_54019_highK,0,0.0114021,1
2D_54019_highK,1,0.00546167,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.141964,1
2D_54019_highK,4,0.0197943,1
2D_54019_highK,5,0.00619117,1
333SP,0,0.355529,0
333SP,1,0.385011,0
333SP,2,inf,0
333SP,3,1.04048,0
333SP,4,0.944001,0
333SP,5,0.415468,0
3D_28984_Tetra,0,0.00721993,1
3D_28984_Tetra,1,0.00322798,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.0114391,1
3D_28984_Tetra,5,0.00592203,1
3D_51448_3D,0,0.0126846,1
3D_51448_3D,1,0.00559314,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.020241,1
3D_51448_3D,5,0.00880589,1
3dtube,0,0.0520088,1
3dtube,1,0.0167853,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0574361,1
3dtube,5,0.0256663,1
3elt,0,0.000196659,1
3elt,1,0.000177179,1
3elt,2,0.0306675,1
3elt,3,0.000795756,1
3elt,4,0.000703878,1
3elt,5,0.00017854,1
3elt_dual,0,0.000123351,0
3elt_dual,1,0.000328614,0
3elt_dual,2,0.0492583,0
3elt_dual,3,0.000944667,0
3elt_dual,4,0.000849336,0
3elt_dual,5,0.000403862,0
494_bus,0,1.0179e-05,0
494_bus,1,1.79583e-05,0
494_bus,2,0.00105632,0
494_bus,3,6.42044e-05,0
494_bus,4,5.34237e-05,0
494_bus,5,1.94593e-05,0
598a,0,0.019022,5
598a,1,0.0196664,5
598a,2,inf,5
598a,3,0.0367699,5
598a,4,0.0359271,5
598a,5,0.0173124,5
662_bus,0,1.58342e-05,0
662_bus,1,2.48128e-05,0
662_bus,2,0.00142262,0
662_bus,3,8.89754e-05,0
662_bus,4,7.26723e-05,0
662_bus,5,2.67856e-05,0
685_bus,0,2.30567e-05,0
685_bus,1,2.73326e-05,0
685_bus,2,0.00123346,0
685_bus,3,0.00011274,0
685_bus,4,9.61515e-05,0
685_bus,5,3.38706e-05,0
a0nsdsil,0,0.00246793,0
a0nsdsil,1,0.0031512,0
a0nsdsil,2,inf,0
a0nsdsil,3,inf,0
a0nsdsil,4,0.0102449,0
a0nsdsil,5,0.00327869,0
a2nnsnsl,0,0.00239385,0
a2nnsnsl,1,0.00313731,0
a2nnsnsl,2,inf,0
a2nnsnsl,3,inf,0
a2nnsnsl,4,0.010573,0
a2nnsnsl,5,0.00327358,0
a5esindl,0,0.00171222,0
a5esindl,1,0.00233526,0
a5esindl,2,inf,0
a5esindl,3,inf,0
a5esindl,4,0.00760586,0
a5esindl,5,0.0024262,0
ABACUS_shell_ud,0,0.00189598,5
ABACUS_shell_ud,1,0.001695,5
ABACUS_shell_ud,2,0.0744791,5
ABACUS_shell_ud,3,0.0053602,5
ABACUS_shell_ud,4,0.00518124,5
ABACUS_shell_ud,5,0.00106625,5
ACTIVSg10K,0,0.00116281,1
ACTIVSg10K,1,0.00104122,1
ACTIVSg10K,2,inf,1
ACTIVSg10K,3,0.00748794,1
ACTIVSg10K,4,0.00343785,1
ACTIVSg10K,5,0.0012476,1
ACTIVSg2000,0,0.000255424,1
ACTIVSg2000,1,0.00021789,1
ACTIVSg2000,2,0.0439623,1
ACTIVSg2000,3,0.00652414,1
ACTIVSg2000,4,0.000750597,1
ACTIVSg2000,5,0.000223308,1
ACTIVSg70K,0,0.00146581,0
ACTIVSg70K,1,0.00262507,0
ACTIVSg70K,2,inf,0
ACTIVSg70K,3,0.00963694,0
ACTIVSg70K,4,0.0079587,0
ACTIVSg70K,5,0.00351701,0
adaptive,0,0.238316,0
adaptive,1,0.364641,0
adaptive,2,inf,0
adaptive,3,0.995957,0
adaptive,4,0.884579,0
adaptive,5,0.461296,0
add20,0,0.000188404,1
add20,1,0.000150624,1
add20,2,0.0267859,1
add20,3,0.0141974,1
add20,4,0.000453089,1
add20,5,0.000150966,1
add32,0,0.000181122,0
add32,1,0.000235171,0
add32,2,0.0725623,0
add32,3,0.0278393,0
add32,4,0.000734435,0
add32,5,0.000237033,0
adder_dcop_01,0,9.72283e-05,1
adder_dcop_01,1,7.87767e-05,1
adder_dcop_01,2,0.0224528,1
adder_dcop_01,3,0.00380791,1
adder_dcop_01,4,0.000327057,1
adder_dcop_01,5,9.0411e-05,1
adder_dcop_02,0,9.81287e-05,1
adder_dcop_02,1,7.90142e-05,1
adder_dcop_02,2,0.0226511,1
adder_dcop_02,3,0.00389335,1
adder_dcop_02,4,0.000328513,1
adder_dcop_02,5,9.09472e-05,1
adder_dcop_03,0,9.97023e-05,1
adder_dcop_03,1,9.04437e-05,1
adder_dcop_03,2,0.0225241,1
adder_dcop_03,3,0.00386784,1
adder_dcop_03,4,0.000337096,1
adder_dcop_03,5,0.000102025,1
adder_dcop_04,0,9.67956e-05,1
adder_dcop_04,1,7.8862e-05,1
adder_dcop_04,2,0.0226326,1
adder_dcop_04,3,0.00385018,1
adder_dcop_04,4,0.000326699,1
adder_dcop_04,5,9.04206e-05,1
adder_dcop_05,0,9.64002e-05,1
adder_dcop_05,1,7.88368e-05,1
adder_dcop_05,2,0.0225277,1
adder_dcop_05,3,0.00379549,1
adder_dcop_05,4,0.000326341,1
adder_dcop_05,5,9.00993e-05,1
adder_dcop_06,0,9.81027e-05,1
adder_dcop_06,1,7.89257e-05,1
adder_dcop_06,2,0.0226132,1
adder_dcop_06,3,0.00389909,1
adder_dcop_06,4,0.00033031,1
adder_dcop_06,5,9.05559e-05,1
adder_dcop_07,0,9.78203e-05,1
adder_dcop_07,1,7.92045e-05,1
adder_dcop_07,2,0.0225263,1
adder_dcop_07,3,0.00386966,1
adder_dcop_07,4,0.000327114,1
adder_dcop_07,5,9.04276e-05,1
adder_dcop_08,0,9.80937e-05,1
adder_dcop_08,1,7.90842e-05,1
adder_dcop_08,2,0.0225334,1
adder_dcop_08,3,0.00383235,1
adder_dcop_08,4,0.000327769,1
adder_dcop_08,5,9.04947e-05,1
adder_dcop_09,0,9.78882e-05,1
adder_dcop_09,1,7.90089e-05,1
adder_dcop_09,2,0.0225365,1
adder_dcop_09,3,0.00389294,1
adder_dcop_09,4,0.000331489,1
adder_dcop_09,5,9.08932e-05,1
adder_dcop_10,0,9.77507e-05,1
adder_dcop_10,1,7.89573e-05,1
adder_dcop_10,2,0.022548,1
adder_dcop_10,3,0.00387388,1
adder_dcop_10,4,0.000326677,1
adder_dcop_10,5,9.0529e-05,1
adder_dcop_11,0,9.80331e-05,1
adder_dcop_11,1,7.90817e-05,1
adder_dcop_11,2,0.0226411,1
adder_dcop_11,3,0.0038614,1
adder_dcop_11,4,0.000333251,1
adder_dcop_11,5,9.07791e-05,1
adder_dcop_12,0,9.82304e-05,1
adder_dcop_12,1,7.92833e-05,1
adder_dcop_12,2,0.0225161,1
adder_dcop_12,3,0.00383929,1
adder_dcop_12,4,0.000328188,1
adder_dcop_12,5,9.10391e-05,1
adder_dcop_13,0,9.851e-05,1
adder_dcop_13,1,7.90166e-05,1
adder_dcop_13,2,0.0226037,1
adder_dcop_13,3,0.00388666,1
adder_dcop_13,4,0.000328466,1
adder_dcop_13,5,9.08914e-05,1
adder_dcop_14,0,9.83616e-05,1
adder_dcop_14,1,7.8821e-05,1
adder_dcop_14,2,0.0225525,1
adder_dcop_14,3,0.00382648,1
adder_dcop_14,4,0.000327309,1
adder_dcop_14,5,9.06644e-05,1
adder_dcop_15,0,9.88588e-05,1
adder_dcop_15,1,7.90821e-05,1
adder_dcop_15,2,0.0226225,1
adder_dcop_15,3,0.0038815,1
adder_dcop_15,4,0.000328358,1
adder_dcop_15,5,9.0851e-05,1
adder_dcop_16,0,9.82576e-05,1
adder_dcop_16,1,7.90767e-05,1
adder_dcop_16,2,0.0226334,1
adder_dcop_16,3,0.00387166,1
adder_dcop_16,4,0.000330531,1
adder_dcop_16,5,9.09552e-05,1
adder_dcop_17,0,9.83574e-05,1
adder_dcop_17,1,7.90886e-05,1
adder_dcop_17,2,0.022593,1
adder_dcop_17,3,0.00386403,1
adder_dcop_17,4,0.000331316,1
adder_dcop_17,5,9.08806e-05,1
adder_dcop_18,0,9.83052e-05,1
adder_dcop_18,1,7.89197e-05,1
adder_dcop_18,2,0.0226398,1
adder_dcop_18,3,0.00386686,1
adder_dcop_18,4,0.000328522,1
adder_dcop_18,5,9.08395e-05,1
adder_dcop_19,0,9.81653e-05,1
adder_dcop_19,1,7.87448e-05,1
adder_dcop_19,2,0.0225544,1
adder_dcop_19,3,0.00387319,1
adder_dcop_19,4,0.000327243,1
adder_dcop_19,5,9.06468e-05,1
adder_dcop_20,0,9.83281e-05,1
adder_dcop_20,1,7.88546e-05,1
adder_dcop_20,2,0.0225484,1
adder_dcop_20,3,0.00387582,1
adder_dcop_20,4,0.000327212,1
adder_dcop_20,5,9.06393e-05,1
adder_dcop_21,0,9.82593e-05,1
adder_dcop_21,1,7.90505e-05,1
adder_dcop_21,2,0.0226166,1
adder_dcop_21,3,0.00388623,1
adder_dcop_21,4,0.000328318,1
adder_dcop_21,5,9.0867e-05,1
adder_dcop_22,0,9.80771e-05,1
adder_dcop_22,1,7.89323e-05,1
adder_dcop_22,2,0.0225589,1
adder_dcop_22,3,0.00391545,1
adder_dcop_22,4,0.000327553,1
adder_dcop_22,5,9.06133e-05,1
adder_dcop_23,0,9.83546e-05,1
adder_dcop_23,1,7.90594e-05,1
adder_dcop_23,2,0.0226258,1
adder_dcop_23,3,0.00390481,1
adder_dcop_23,4,0.000328786,1
