matrix,Format,Timings,OptimumFormat
1138_bus,0,0.000738423,2
1138_bus,1,0.00066387,2
1138_bus,2,0.000662696,2
1138_bus,3,0.000662781,2
1138_bus,4,0.00139317,2
1138_bus,5,0.00134394,2
144,0,0.000900759,1
144,1,0.000714225,1
144,2,inf,1
144,3,0.000727009,1
144,4,0.00155572,1
144,5,0.00141124,1
2D_27628_bjtcai,0,0.000775297,1
2D_27628_bjtcai,1,0.000663437,1
2D_27628_bjtcai,2,0.000833763,1
2D_27628_bjtcai,3,inf,1
2D_27628_bjtcai,4,0.00142383,1
2D_27628_bjtcai,5,0.00132332,1
2D_54019_highK,0,0.000800043,1
2D_54019_highK,1,0.000664235,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.000814844,1
2D_54019_highK,4,0.00142609,1
2D_54019_highK,5,0.00132749,1
333SP,0,0.00181098,1
333SP,1,0.000986574,1
333SP,2,inf,1
333SP,3,0.00141726,1
333SP,4,0.00228332,1
333SP,5,0.00172196,1
3D_28984_Tetra,0,0.000785694,1
3D_28984_Tetra,1,0.000661566,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.00140023,1
3D_28984_Tetra,5,0.0013202,1
3D_51448_3D,0,0.000800488,1
3D_51448_3D,1,0.000658951,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.00140598,1
3D_51448_3D,5,0.00131521,1
3dtube,0,0.000888095,1
3dtube,1,0.000717774,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.0015455,1
3dtube,5,0.00142377,1
3elt,0,0.000734772,3
3elt,1,0.000659968,3
3elt,2,0.000757341,3
3elt,3,0.000658123,3
3elt,4,0.0013913,3
3elt,5,0.00131014,3
3elt_dual,0,0.000737562,3
3elt_dual,1,0.000660877,3
3elt_dual,2,0.000757681,3
3elt_dual,3,0.000659164,3
3elt_dual,4,0.00139661,3
3elt_dual,5,0.00132145,3
