matrix,Format,Timings,OptimumFormat
1138_bus,0,1.00585e-05,1
1138_bus,1,4.79049e-06,1
1138_bus,2,7.32717e-05,1
1138_bus,3,1.0922e-05,1
1138_bus,4,1.53121e-05,1
1138_bus,5,9.52949e-06,1
144,0,0.000590405,1
144,1,0.000557809,1
144,2,inf,1
144,3,0.000812291,1
144,4,0.000800064,1
144,5,0.000599413,1
2D_27628_bjtcai,0,8.25953e-05,5
2D_27628_bjtcai,1,3.86962e-05,5
2D_27628_bjtcai,2,0.00697277,5
2D_27628_bjtcai,3,inf,5
2D_27628_bjtcai,4,0.000119824,5
2D_27628_bjtcai,5,3.78038e-05,5
2D_54019_highK,0,0.000173611,1
2D_54019_highK,1,7.59065e-05,1
2D_54019_highK,2,inf,1
2D_54019_highK,3,0.00455495,1
2D_54019_highK,4,0.000239645,1
2D_54019_highK,5,0.000120933,1
333SP,0,0.00940136,1
333SP,1,0.00693332,1
333SP,2,inf,1
333SP,3,0.020166,1
333SP,4,0.0213903,1
333SP,5,0.00811448,1
3D_28984_Tetra,0,0.000118673,1
3D_28984_Tetra,1,5.88223e-05,1
3D_28984_Tetra,2,inf,1
3D_28984_Tetra,3,inf,1
3D_28984_Tetra,4,0.000149013,1
3D_28984_Tetra,5,0.000139132,1
3D_51448_3D,0,0.000193648,1
3D_51448_3D,1,9.0411e-05,1
3D_51448_3D,2,inf,1
3D_51448_3D,3,inf,1
3D_51448_3D,4,0.000243204,1
3D_51448_3D,5,0.000178246,1
3dtube,0,0.000673268,1
3dtube,1,0.000264325,1
3dtube,2,inf,1
3dtube,3,inf,1
3dtube,4,0.000930226,1
3dtube,5,0.000607787,1
3elt,0,1.30464e-05,1
3elt,1,6.23022e-06,1
3elt,2,0.00065137,1
3elt,3,1.88018e-05,1
3elt,4,2.30867e-05,1
3elt,5,1.093e-05,1
3elt_dual,0,1.34653e-05,1
3elt_dual,1,6.42858e-06,1
3elt_dual,2,0.0011488,1
3elt_dual,3,2.46812e-05,1
3elt_dual,4,2.87959e-05,1
3elt_dual,5,1.23844e-05,1
494_bus,0,9.2331e-06,1
494_bus,1,4.38427e-06,1
494_bus,2,2.39126e-05,1
494_bus,3,9.0035e-06,1
494_bus,4,1.31958e-05,1
494_bus,5,8.4381e-06,1
598a,0,0.000440446,0
598a,1,0.00045157,0
598a,2,inf,0
598a,3,0.000629246,0
598a,4,0.000578274,0
598a,5,0.000462433,0
662_bus,0,1.00041e-05,1
662_bus,1,4.61474e-06,1
662_bus,2,3.42511e-05,1
662_bus,3,9.79234e-06,1
662_bus,4,1.40563e-05,1
662_bus,5,8.84741e-06,1
685_bus,0,8.59762e-06,1
685_bus,1,4.14197e-06,1
685_bus,2,2.69803e-05,1
685_bus,3,9.20729e-06,1
685_bus,4,1.30139e-05,1
685_bus,5,8.23644e-06,1
a0nsdsil,0,8.077e-05,1
a0nsdsil,1,7.33159e-05,1
a0nsdsil,2,inf,1
a0nsdsil,3,inf,1
a0nsdsil,4,0.000182797,1
a0nsdsil,5,0.000112579,1
a2nnsnsl,0,7.9619e-05,1
a2nnsnsl,1,7.01897e-05,1
a2nnsnsl,2,inf,1
a2nnsnsl,3,inf,1
a2nnsnsl,4,0.000182306,1
